filename,region,source_category,wikimedia_title,wikimedia_url,license,artist,width,height,status,reject_reason
east_asia_0001.jpg,east_asia,Streets in China,File:- panoramio - Gavr (3).jpg,https://commons.wikimedia.org/wiki/File:-_panoramio_-_Gavr_(3).jpg,cc by 3.0,Gavr,1916,1080,kept,
east_asia_0002.jpg,east_asia,Streets in China,File:205国道在莱芜市钢城区颜庄镇段的标志牌.jpg,https://commons.wikimedia.org/wiki/File:205%E5%9B%BD%E9%81%93%E5%9C%A8%E8%8E%B1%E8%8A%9C%E5%B8%82%E9%92%A2%E5%9F%8E%E5%8C%BA%E9%A2%9C%E5%BA%84%E9%95%87%E6%AE%B5%E7%9A%84%E6%A0%87%E5%BF%97%E7%89%8C.jpg,cc by-sa 4.0,Charlie Qi,4160,3120,kept,
east_asia_0003.jpg,east_asia,Streets in China,File:5673-Linxia-City-Xin-Xi-Lu.jpg,https://commons.wikimedia.org/wiki/File:5673-Linxia-City-Xin-Xi-Lu.jpg,cc by-sa 3.0,User:Vmenkov,2048,1536,kept,
east_asia_0004.jpg,east_asia,Streets in China,File:5677-Linxia-City-Laohua-Mosque.jpg,https://commons.wikimedia.org/wiki/File:5677-Linxia-City-Laohua-Mosque.jpg,cc by-sa 3.0,User:Vmenkov,2048,1536,kept,
east_asia_0005.jpg,east_asia,Streets in China,File:5678-Linxia-City-Xin-Xi-Lu.jpg,https://commons.wikimedia.org/wiki/File:5678-Linxia-City-Xin-Xi-Lu.jpg,cc by-sa 3.0,User:Vmenkov,2048,1536,rejected,other
east_asia_0006.jpg,east_asia,Streets in China,File:5680-Linxia-City-Xinhua-and-Laohua-Mosques.jpg,https://commons.wikimedia.org/wiki/File:5680-Linxia-City-Xinhua-and-Laohua-Mosques.jpg,cc by-sa 3.0,User:Vmenkov,2048,1536,kept,
east_asia_0007.jpg,east_asia,Streets in China,File:Binyang.jpg,https://commons.wikimedia.org/wiki/File:Binyang.jpg,cc by-sa 4.0,Hhhlx,3024,3024,kept,
east_asia_0008.jpg,east_asia,Streets in China,File:Binyang2.jpg,https://commons.wikimedia.org/wiki/File:Binyang2.jpg,cc by 4.0,Hhhlx,3024,1701,kept,
east_asia_0009.jpg,east_asia,Streets in China,File:Busy Avenue (6240602852).jpg,https://commons.wikimedia.org/wiki/File:Busy_Avenue_(6240602852).jpg,cc by 2.0,Francisco Anzola,3617,2626,kept,
east_asia_0010.jpg,east_asia,Streets in China,File:Changmen.jpg,https://commons.wikimedia.org/wiki/File:Changmen.jpg,cc by-sa 3.0,Chinatravelsavvy,2048,1536,rejected,other
east_asia_0011.jpg,east_asia,Streets in China,File:Datong Traffic.jpg,https://commons.wikimedia.org/wiki/File:Datong_Traffic.jpg,cc by-sa 4.0,Marcin Białek,2854,1877,rejected,other
east_asia_0012.jpg,east_asia,Streets in China,"File:During The Famine Young Child Dying In The Gutter, China (1946) Geroge Silk (RESTORED) (4078245435).jpg","https://commons.wikimedia.org/wiki/File:During_The_Famine_Young_Child_Dying_In_The_Gutter,_China_(1946)_Geroge_Silk_(RESTORED)_(4078245435).jpg",cc by 2.0,George Silk,996,1280,rejected,off-topic
east_asia_0013.jpg,east_asia,Streets in China,File:HN SanYa YaLong Bay car park and Holiday Inn.jpg,https://commons.wikimedia.org/wiki/File:HN_SanYa_YaLong_Bay_car_park_and_Holiday_Inn.jpg,public domain,No machine-readable author provided. HNPIX~commonswiki assumed (based on copyright claims).,1280,960,kept,
east_asia_0014.jpg,east_asia,Streets in China,File:Hukaiwen.jpg,https://commons.wikimedia.org/wiki/File:Hukaiwen.jpg,cc by 2.5,Gisling,2500,1651,kept,
east_asia_0015.jpg,east_asia,Streets in China,File:In the downtown of Yinzhou District 02.jpg,https://commons.wikimedia.org/wiki/File:In_the_downtown_of_Yinzhou_District_02.jpg,cc by-sa 4.0,Kychn,3840,2160,rejected,other
east_asia_0016.jpg,east_asia,Streets in China,File:John Thomson Magic Lantern Peep Show 1877.jpg,https://commons.wikimedia.org/wiki/File:John_Thomson_Magic_Lantern_Peep_Show_1877.jpg,public domain,John Thomson,3200,2647,rejected,not-a-photo
